ID,SHA1 Hash,Path,Filename
SCPS-45196,DB3CCF84ADEFF63F915C563CA839ADE705084F37,SCPS-45196\SERVANT\SD_DEVIL.VB,SD_DEVIL.VB
SCPS-45196,A0CCB77F6E9CECE37DC83B5D199ACF553A681540,SCPS-45196\SERVANT\SD_DEVIL.VH,SD_DEVIL.VH
SCPS-45196,60D2BFFFD75194CB0F6927EADFD1C9815EFDA365,SCPS-45196\SERVANT\SD_FAIR2.VB,SD_FAIR2.VB
SCPS-45196,870674E6508BCEF8BBD2355AA4194B39E56E0605,SCPS-45196\SERVANT\SD_FAIR2.VH,SD_FAIR2.VH
SCPS-45196,18E6F9B78C6CBB6B5935EC2028ED106D3ECA8A6B,SCPS-45196\SERVANT\SD_FAIRY.VB,SD_FAIRY.VB
SCPS-45196,D7873ED7CA7E2361E6124F82B4A1697D31160449,SCPS-45196\SERVANT\SD_FAIRY.VH,SD_FAIRY.VH
SCPS-45196,60D2BFFFD75194CB0F6927EADFD1C9815EFDA365,SCPS-45196\SERVANT\SD_GHOST.VB,SD_GHOST.VB
SCPS-45196,870674E6508BCEF8BBD2355AA4194B39E56E0605,SCPS-45196\SERVANT\SD_GHOST.VH,SD_GHOST.VH
SCPS-45196,55C25F2EA42F9626561B168E7D53E71E566C5A6B,SCPS-45196\SERVANT\SD_SWORD.VB,SD_SWORD.VB
SCPS-45196,BEFE20267FE8B84569786BEAEAAA1B1C417678D8,SCPS-45196\SERVANT\SD_SWORD.VH,SD_SWORD.VH
SCPS-45196,A99AA3AD025C42FF12B53E47B872F765C2FA93E7,SCPS-45196\SERVANT\TT_000.BIN,TT_000.BIN
SCPS-45196,0FF5BAEA65FEF59D1E72231F8F4B95E274D8E745,SCPS-45196\SERVANT\TT_001.BIN,TT_001.BIN
SCPS-45196,327BEABCBAD19EEC6A1AEE3D5BAF1AA496B06C81,SCPS-45196\SERVANT\TT_002.BIN,TT_002.BIN
SCPS-45196,B7B17634A820FCB5C3C461B559A00353F1A7DD10,SCPS-45196\SERVANT\TT_003.BIN,TT_003.BIN
SCPS-45196,F06E8379AF481D33F16EDE44A6D64D1A550CF43A,SCPS-45196\SERVANT\TT_004.BIN,TT_004.BIN
SCPS-45196,F71F5BCBD757807ED644CD650D7DD94D2655871D,SCPS-45196\SERVANT\TT_005.BIN,TT_005.BIN
SCPS-45196,EC8AC11607E13BC0B16B43EBC05E7912B2EBE320,SCPS-45196\SERVANT\TT_006.BIN,TT_006.BIN
SCPS-45196,C02D4BE16E55E307E92203A2D816005ABD8C2682,SCPS-45196\ST\ARE\ARE.BIN,ARE.BIN
SCPS-45196,B5D9C68AD2765D390BC4FC26D488FB816886A579,SCPS-45196\ST\ARE\F_ARE.BIN,F_ARE.BIN
SCPS-45196,479A6D66755CC42003CF9377BC7B6715E0D15819,SCPS-45196\ST\ARE\SD_ZKARE.VB,SD_ZKARE.VB
